g^4,gamma,f,f_error,quadrature_error
0.0,1.0,0.0,0.0,0.0
0.625,1.0,0.004856408162881802,2.4839810015954953e-05,5.3916961594089345e-17
1.25,1.0,0.009452888217964655,6.942755158695567e-05,1.0494814148792226e-16
1.875,1.0,0.013807274849611967,8.797750344592877e-05,2.7550010269554314e-10
2.5,1.0,0.01793106572066703,0.00010202942580643522,1.9907462428923132e-16
3.125,1.0,0.0219269548600788,0.00012284596043090883,1.5854091413425374e-10
3.75,1.0,0.025802058556996143,0.00012449179332509286,3.62395998030166e-10
4.375,1.0,0.02944504638724658,0.0002117791831861268,3.408750548472148e-10
5.0,1.0,0.032951433839457776,0.0003385295085317893,3.6583528133621595e-16
10.0,1.0,0.05810559282858115,0.0006509610685645811,6.451528660227941e-16
15.0,1.0,0.07851142724527087,0.0007190667042167499,8.696654188065642e-10
20.0,1.0,0.0960330564472488,0.0008300789485083588,1.0667900558843027e-15
25.0,1.0,0.11148331866949102,0.0008808566674159654,1.6349878770290797e-09
30.0,1.0,0.12534290607220222,0.0009571329867629671,9.548654273938365e-10
35.0,1.0,0.13800204301809788,0.0009949237885267582,1.4575382587377383e-09
40.0,1.0,0.14966377214070992,0.0010648457674596135,1.6627759900995845e-15
45.0,1.0,0.16036290082275312,0.0010845581990781513,2.2097557355311374e-09
50.0,1.0,0.1704978429968198,0.0011739200900573756,2.1383554474886005e-09
