dimension,lattice_size,alpha,gamma,g^4,<phi^4>,phi4_naive_standard_error,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_samples,seed
2,32,1.0,1.0,0.0,0.19405822827713207,0.0007070629499343145,0.9987,1000,10000,10,100,,1000,430787661
2,32,1.0,1.0,0.625,0.18116529196424483,0.0006109632457601112,0.999,1000,10000,10,100,,1000,2873478621
2,32,1.0,1.0,1.25,0.1701968969850832,0.0005870915141689166,0.9994,1000,10000,10,100,,1000,368629592
2,32,1.0,1.0,1.875,0.1619086876538419,0.0005620470829436997,0.9983,1000,10000,10,100,,1000,1857138071
2,32,1.0,1.0,2.5,0.15562773811691166,0.0005054204271128426,0.9991,1000,10000,10,100,,1000,3751252030
2,32,1.0,1.0,3.125,0.14863809896644994,0.00048563572042404447,0.9984,1000,10000,10,100,,1000,2170104142
2,32,1.0,1.0,3.75,0.142400498760344,0.00044940904996769064,0.9991,1000,10000,10,100,,1000,3147196193
2,32,1.0,1.0,4.375,0.1375660962480454,0.00043280891909042597,0.999,1000,10000,10,100,,1000,2252782026
2,32,1.0,1.0,5.0,0.13308216441079235,0.00041108940339529396,0.9991,1000,10000,10,100,,1000,2123623579
2,32,1.0,1.0,10.0,0.10603819142233345,0.0003060211382620276,0.9991,1000,10000,10,100,,1000,2863677895
2,32,1.0,1.0,15.0,0.08954242681807728,0.00023828550512288693,0.9991,1000,10000,10,100,,1000,2190702640
2,32,1.0,1.0,20.0,0.07826707613923091,0.00021353008111548802,0.9996,1000,10000,10,100,,1000,1604194879
2,32,1.0,1.0,25.0,0.07047671878038697,0.00017902969590063446,0.9992,1000,10000,10,100,,1000,3368848979
2,32,1.0,1.0,30.0,0.06360466998362997,0.00017447820222317833,0.9989,1000,10000,10,100,,1000,2998480521
2,32,1.0,1.0,35.0,0.05864760639360476,0.0001491397058277543,0.9993,1000,10000,10,100,,1000,3344882346
2,32,1.0,1.0,40.0,0.05414222173172419,0.00013452446974199965,0.9989,1000,10000,10,100,,1000,1678147975
2,32,1.0,1.0,45.0,0.050264073881082415,0.00013063377287973426,0.9989,1000,10000,10,100,,1000,583455260
2,32,1.0,1.0,50.0,0.04703978693916807,0.00011780510331049021,0.9989,1000,10000,10,100,,1000,2583047930
