dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
2,4,1.0,1.0,0.0,1.1010710810579898,0.14156885883824238,0.0,1.0,10,250,2,100,1729,125,1513222772
2,4,1.0,1.0,0.0,0.3965004279438107,0.03277960849360606,1.5707963267948966,1.0,10,250,2,100,1729,125,1513222772
2,4,1.0,1.0,0.0,0.15798272398949204,0.02070652314110685,3.141592653589793,1.0,10,250,2,100,1729,125,1513222772
2,4,1.0,1.0,0.0,0.3965004279438107,0.03277960849360606,4.71238898038469,1.0,10,250,2,100,1729,125,1513222772
2,4,1.0,1.0,1.0,0.8932152563574056,0.12189627157162314,0.0,1.0,10,250,2,100,1729,125,2677382299
2,4,1.0,1.0,1.0,0.3135124558290836,0.027196085147651088,1.5707963267948966,1.0,10,250,2,100,1729,125,2677382299
2,4,1.0,1.0,1.0,0.1293155370522449,0.015541707075428747,3.141592653589793,1.0,10,250,2,100,1729,125,2677382299
2,4,1.0,1.0,1.0,0.3135124558290836,0.027196085147651088,4.71238898038469,1.0,10,250,2,100,1729,125,2677382299
