dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
2,32,1.0,1.0,0.5,0.940560171369994,0.019059812631415415,0.0,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.9053332857735363,0.012618634731746795,0.19634954084936207,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.8317763189177929,0.010561256612577284,0.39269908169872414,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.7206663920058141,0.009520794343930368,0.5890486225480862,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.6206384749148651,0.006514261988167121,0.7853981633974483,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.5145936226320691,0.007997377353076584,0.9817477042468103,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.4306904964427785,0.0062098893901165395,1.1780972450961724,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.37064646151530706,0.005306044638086171,1.3744467859455345,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.32708070389920896,0.004008331475732596,1.5707963267948966,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.28576599138466474,0.004803724382999144,1.7671458676442586,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.2616813988748373,0.004795853355096928,1.9634954084936207,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.23793316772381976,0.0028432729051923876,2.1598449493429825,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.2242188877638661,0.003453604424386242,2.356194490192345,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.21585918395907605,0.003899644392837824,2.552544031041707,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.20786141880709025,0.002377459739575349,2.748893571891069,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.1990690626651081,0.0016774633724325094,2.945243112740431,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.19908571529135002,0.004484205065274684,3.141592653589793,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.1990690626651081,0.0016774633724325094,3.3379421944391554,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.20786141880709025,0.002377459739575349,3.5342917352885173,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.21585918395907605,0.003899644392837824,3.730641276137879,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.2242188877638661,0.0034536044243862374,3.9269908169872414,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.23793316772381976,0.0028432729051923876,4.123340357836604,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.2616813988748373,0.0047958533550969025,4.319689898685965,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.28576599138466474,0.004803724382999144,4.516039439535327,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.32708070389920896,0.004008331475732596,4.71238898038469,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.37064646151530706,0.005306044638086171,4.908738521234052,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.4306904964427785,0.0062098893901165395,5.105088062083414,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.5145936226320691,0.007997377353076584,5.301437602932776,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.6206384749148651,0.006514261988167138,5.497787143782138,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.7206663920058141,0.009520794343930368,5.6941366846315,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.8317763189177929,0.010561256612577284,5.890486225480862,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,0.5,0.9053332857735363,0.012618634731746795,6.086835766330224,0.9744333333333334,5000,60000,10,20,,6000,2476829340
2,32,1.0,1.0,1.0,0.8820993971743123,0.017955993343418002,0.0,0.9735833333333334,5000,60000,10,20,,6000,18629593
2,32,1.0,1.0,1.0,0.8695258176307105,0.014091266605981374,0.19634954084936207,0.9735833333333334,5000,60000,10,20,,6000,18629593
2,32,1.0,1.0,1.0,0.8122685643614093,0.008880736678348745,0.39269908169872414,0.9735833333333334,5000,60000,10,20,,6000,18629593
2,32,1.0,1.0,1.0,0.680110706598861,0.010280654141500062,0.5890486225480862,0.9735833333333334,5000,60000,10,20,,6000,18629593
2,32,1.0,1.0,1.0,0.5813151544567359,0.008255532776574833,0.7853981633974483,0.9735833333333334,5000,60000,10,20,,6000,18629593
