g^4,gamma,p,D(p),error
0.5,1.0,0.0,0.9478840445487794,0.04660301606271224
0.5,1.0,0.196349540849362,0.9178808776436376,0.03185926836425159
0.5,1.0,0.3926990816987241,0.8237515874137529,0.029215940807302502
0.5,1.0,0.5890486225480862,0.7478888133567922,0.026981923727695742
0.5,1.0,0.7853981633974483,0.6193660648471603,0.02558593522526013
0.5,1.0,0.9817477042468103,0.5330847925393696,0.024067506266115993
0.5,1.0,1.1780972450961724,0.4303310822488426,0.02187694782126922
0.5,1.0,1.3744467859455345,0.35888850386104026,0.020817510022976993
0.5,1.0,1.5707963267948966,0.33717317087163007,0.01998739421878896
0.5,1.0,1.7671458676442586,0.2895414162267551,0.018429303277023107
0.5,1.0,1.9634954084936207,0.26723718777422173,0.016580826931729128
0.5,1.0,2.1598449493429825,0.24542503387517325,0.016277931622168163
0.5,1.0,2.356194490192345,0.22560560710733832,0.01595536949658369
0.5,1.0,2.552544031041707,0.23029825485204905,0.013840224063281167
0.5,1.0,2.748893571891069,0.20859800006837545,0.015009626826367077
0.5,1.0,2.945243112740431,0.2068952219323518,0.014846668175894655
0.5,1.0,3.141592653589793,0.19122157941481407,0.02135933317653713
0.5,1.0,3.3379421944391554,0.2053018962592814,0.01503452694371823
0.5,1.0,3.5342917352885173,0.19914969113256412,0.014644299407651494
0.5,1.0,3.730641276137879,0.21151113250143663,0.015137538889448483
0.5,1.0,3.9269908169872414,0.22003453987041555,0.01649476201093349
0.5,1.0,4.123340357836604,0.2374761854009603,0.01645357159713892
0.5,1.0,4.319689898685965,0.25899758420511304,0.01714109731834257
0.5,1.0,4.516039439535327,0.29089701141977886,0.018649031856850417
0.5,1.0,4.71238898038469,0.3287723120383849,0.01822839961069574
0.5,1.0,4.908738521234052,0.3903367514021225,0.0196669810670876
0.5,1.0,5.105088062083414,0.4349197439943447,0.024747423271334515
0.5,1.0,5.301437602932776,0.5422188759709409,0.025109014983943297
0.5,1.0,5.497787143782138,0.6314520806617362,0.02571266580749126
0.5,1.0,5.6941366846315,0.7489337044039482,0.02723915110683492
0.5,1.0,5.890486225480862,0.799097346269778,0.02949730096192183
0.5,1.0,6.086835766330224,0.9156549098810959,0.0310472678924075
2.0,1.0,0.0,0.8879670356972409,0.03976500955650796
2.0,1.0,0.196349540849362,0.836652545273839,0.026966196179888775
2.0,1.0,0.3926990816987241,0.7635449140866746,0.0269252783170678
2.0,1.0,0.5890486225480862,0.6579212010354529,0.023529248405760563
2.0,1.0,0.7853981633974483,0.5802102765799202,0.023434045188169904
2.0,1.0,0.9817477042468103,0.4858676175254979,0.020418263365622854
2.0,1.0,1.1780972450961724,0.40494195396168675,0.020071239963033245
2.0,1.0,1.3744467859455345,0.3606794280330944,0.01804280334653546
2.0,1.0,1.5707963267948966,0.3171341422097355,0.016677263970864813
2.0,1.0,1.7671458676442586,0.27559684666612677,0.01615878945304727
2.0,1.0,1.9634954084936207,0.24378493905131085,0.015294582820543001
2.0,1.0,2.1598449493429825,0.24417728034561365,0.014688960976289498
2.0,1.0,2.356194490192345,0.22674824770307028,0.014856119626496958
2.0,1.0,2.552544031041707,0.19075367805127322,0.014222105705472854
2.0,1.0,2.748893571891069,0.20640113995256154,0.014072349908054534
2.0,1.0,2.945243112740431,0.19730283215998384,0.013138032983438767
2.0,1.0,3.141592653589793,0.2070738422553524,0.019648339724041803
2.0,1.0,3.3379421944391554,0.19522425462315682,0.013903592547424692
2.0,1.0,3.5342917352885173,0.1992218398807569,0.013232251754218301
2.0,1.0,3.730641276137879,0.2042439660420706,0.014576630760523904
2.0,1.0,3.9269908169872414,0.21896088346084738,0.014244784420961646
2.0,1.0,4.123340357836604,0.2377339626419672,0.015712988970895563
2.0,1.0,4.319689898685965,0.25729378289354865,0.016365239577042348
2.0,1.0,4.516039439535327,0.27135878380543776,0.014825826913143408
2.0,1.0,4.71238898038469,0.3158444267839905,0.017777481727303764
2.0,1.0,4.908738521234052,0.36664839020926493,0.01911130381269498
2.0,1.0,5.105088062083414,0.42722124986150833,0.01943809614918331
2.0,1.0,5.301437602932776,0.5224355802960827,0.020774132712509247
2.0,1.0,5.497787143782138,0.5676267727061963,0.022344881677967873
2.0,1.0,5.6941366846315,0.6624911175770289,0.025762019489329897
2.0,1.0,5.890486225480862,0.7570793718129507,0.02620658183455368
2.0,1.0,6.086835766330224,0.8072807673347417,0.028663948574249715
5.0,1.0,0.0,0.7668765418865305,0.034383809626481285
5.0,1.0,0.196349540849362,0.708290722660355,0.024522314213430516
