g^4,gamma,f,f_error,quadrature_error
0.0,1.0,0.0,0.0,0.0
0.625,1.0,0.004866704033248217,1.4725177408694727e-05,0.0
1.25,1.0,0.009456366402271694,2.1019833160901012e-05,0.0
1.875,1.0,0.013801831811996181,2.5017582058004088e-05,0.0
2.5,1.0,0.017931411209916606,2.888694882569651e-05,0.0
3.125,1.0,0.021882821906869698,3.1323204637142916e-05,0.0
3.75,1.0,0.02566115241959693,3.31925809536412e-05,0.0
4.375,1.0,0.0293057106271899,3.510017182799071e-05,0.0
5.0,1.0,0.032838170476735117,3.6661672552952234e-05,0.0
10.0,1.0,0.0574185299056613,0.00018811153948747588,0.0
15.0,1.0,0.07764081045938546,0.00016100478097483118,0.0
20.0,1.0,0.09502572050192938,0.00017825330580021842,0.0
25.0,1.0,0.11053227749725543,0.0001815690458076824,0.0
30.0,1.0,0.12442476735256118,0.00018600300965841978,0.0
35.0,1.0,0.13707679100355266,0.00019057676230299994,0.0
40.0,1.0,0.1487847376605358,0.0001940320432044734,0.0
45.0,1.0,0.15961272326955342,0.00019694739566912992,0.0
50.0,1.0,0.16971699819358121,0.00019993391905878894,0.0
