dimension,lattice_size,alpha,gamma,g^4,<phi^4>,phi4_naive_standard_error,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_samples,seed
4,8,1.0,1.0,0.0,0.05656748137782292,7.278971600077196e-05,0.9863,10000,30000,10,30,,3000,399052948
4,8,1.0,1.0,0.625,0.05484865927932001,6.193658617813934e-05,0.9882,10000,30000,10,30,,3000,1106681117
4,8,1.0,1.0,1.25,0.047536797584651506,4.625322911066381e-05,0.9868666666666667,10000,30000,10,30,,3000,3978964294
4,8,1.0,1.0,1.875,0.046386421097269724,4.519591036643752e-05,0.9859666666666667,10000,30000,10,30,,3000,1328106112
4,8,1.0,1.0,2.5,0.04575731455292979,4.6647391944130596e-05,0.9872,10000,30000,10,30,,3000,2858381357
4,8,1.0,1.0,3.125,0.045034424448646034,4.368121597180821e-05,0.986,10000,30000,10,30,,3000,2889161704
4,8,1.0,1.0,3.75,0.04452612991473273,4.2253603621171876e-05,0.9863,10000,30000,10,30,,3000,915078770
4,8,1.0,1.0,4.375,0.04381702162284652,4.279755073450276e-05,0.9857333333333334,10000,30000,10,30,,3000,1567215524
4,8,1.0,1.0,5.0,0.04337721407314212,4.0826105635481236e-05,0.9867666666666667,10000,30000,10,30,,3000,1681603061
4,8,1.0,1.0,10.0,0.039744378411709115,3.570208511292799e-05,0.9859333333333333,10000,30000,10,30,,3000,3901363816
4,8,1.0,1.0,15.0,0.036552545812158804,3.198138744698794e-05,0.9860666666666666,10000,30000,10,30,,3000,3627584209
4,8,1.0,1.0,20.0,0.03410211459349554,2.9112221989356112e-05,0.9834,10000,30000,10,30,,3000,1440047492
4,8,1.0,1.0,25.0,0.03204665089386119,2.6091826879827255e-05,0.9818333333333333,10000,30000,10,30,,3000,2220340485
4,8,1.0,1.0,30.0,0.030369367115294452,2.5227757587423483e-05,0.9804333333333334,10000,30000,10,30,,3000,500487352
4,8,1.0,1.0,35.0,0.028738352716885997,2.290799345383077e-05,0.9776,10000,30000,10,30,,3000,3308934887
4,8,1.0,1.0,40.0,0.027485369914604544,2.2202162133121045e-05,0.9787,10000,30000,10,30,,3000,4262014530
4,8,1.0,1.0,45.0,0.026221270463096885,2.1506232265629012e-05,0.9755666666666667,10000,30000,10,30,,3000,30527037
4,8,1.0,1.0,50.0,0.025181266048301534,2.0156133822752885e-05,0.9723666666666667,10000,30000,10,30,,3000,2733411726
