dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
3,32,1.0,1.0,0.0,1.0120794094677321,0.018992779990028325,0.0,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.9908540317548564,0.011438241076329528,0.19634954084936207,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.8793254154349973,0.010058323790380274,0.39269908169872414,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.7260292165532626,0.009055210411562827,0.5890486225480862,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.627376881042293,0.007929729569576386,0.7853981633974483,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.5341353958829803,0.0059408769078444015,0.9817477042468103,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.44663645423002063,0.006102163572413745,1.1780972450961724,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.3832654943031622,0.004192326470950843,1.3744467859455345,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.33687466023811624,0.0036659204048858692,1.5707963267948966,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.29220882422163047,0.002828030701701099,1.7671458676442586,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.266427303798592,0.0029544791978101774,1.9634954084936207,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.24069204983529957,0.0028404185004897724,2.1598449493429825,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.22639930798985847,0.002644886963454392,2.356194490192345,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.21239852820623997,0.002568483592349417,2.552544031041707,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.20757199076724822,0.0024652262708249706,2.748893571891069,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.20270651624972175,0.002279071201066132,2.945243112740431,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.2023531923355918,0.0032949390620200295,3.141592653589793,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.20270651624972175,0.002279071201066132,3.3379421944391554,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.20757199076724814,0.0024652262708249675,3.5342917352885173,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.21239852820623997,0.002568483592349417,3.730641276137879,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.22639930798985844,0.002644886963454391,3.9269908169872414,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.24069204983529957,0.0028404185004897724,4.123340357836604,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.2664273037985919,0.0029544791978102264,4.319689898685965,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.29220882422163047,0.002828030701701099,4.516039439535327,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.33687466023811624,0.0036659204048858692,4.71238898038469,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.3832654943031622,0.004192326470950843,4.908738521234052,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.4466364542300206,0.006102163572413747,5.105088062083414,0.9573142857142857,10000,70000,10,30,,7000,983318393
3,32,1.0,1.0,0.0,0.5341353958829803,0.0059408769078444015,5.301437602932776,0.9573142857142857,10000,70000,10,30,,7000,983318393
