dimension,lattice_size,alpha,gamma,g^4,<phi^4>,phi4_error,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_samples,seed
2,4,1.0,1.0,0.0,0.39665705764940523,0.09654457680584301,1.0,10,40,2,100,1729,20,1513222772
2,4,1.0,1.0,0.5,0.1723279693541138,0.020888822969072254,1.0,10,40,2,100,1729,20,2677382299
2,4,1.0,1.0,1.0,0.11390679909337727,0.01595135339382769,1.0,10,40,2,100,1729,20,2294592569
2,4,1.0,1.0,2.0,0.44324961835777765,0.05485353666188236,1.0,10,40,2,100,1729,20,739371971
